,"0912161E","ST LEON LE GRAND","8 quai de l'Essonne
",91,"CORBEIL ESSONNES","ESSONNE","01 60 88 48 68
","01 60 88 00 54
","saintleon@wanadoo.fr","Lycée Polyvalent"," DELORMEL","Corine","saintleondirection@wanadoo.fr",,
,"0910827E","JEANNE D'ARC","31 rue Alfred Leblanc
",91,"BRETIGNY SUR ORGE","ESSONNE","01 60 84 11 24
","01 60 85 00 21
","	
0910827E@ac-versailles.fr","Collège"," FUSIER","Sandrine","jda.ce.bretigny@gmail.com",,
,"0910824B","SACRE COEUR LA VILLE DU BOIS","2 rue du Gaizon
",91,"LA VILLE DU BOIS","ESSONNE","01 69 01 06 12
",,"0910824B@ac-versailles.fr","Lycée Général et Technologique"," MAILLARD","Jean Claude","direction@isc-vdb.fr",,
,"0911748F","NOTRE DAME DE SION","1 avenue de Ratisbonne
",91,"EVRY ","ESSONNE","01 69 47 32 32
","01 64 97 25 56
","0911748F@ac-versailles.fr","Collège","BATHILDE","Sandrine","direction@sion91.fr",,
,"0910836P","SACRE COEUR","29 rue Chamberlin
",91,"SAVIGNY SUR ORGE","ESSONNE","01 69 05 33 74
","01 69 05 94 19
","0910836P@ac-versailles.fr","Collège"," ROBUCHON LEE","Christophe","c.robuchonlee@saintlouis-viry.fr",,
,"0911752K","ST LOUIS ST CLEMENT","1 à 35 rue Margot
",91,"VIRY CHATILLON","ESSONNE","01 69 12 29 29
","01 69 05 94 32
","	
0911752K@ac-versailles.fr","Collège"," ROBUCHON LEE","Christophe","c.robuchonlee@saintlouis-viry.fr",,
,"0910826D","ST LOUIS ST CLEMENT","1 rue Margot
",91,"VIRY CHATILLON","ESSONNE","01 69 12 29 29
","01 69 05 94 32
","0910826D@ac-versailles.fr","Lycée Général et Technologique"," ROBUCHON LEE","Christophe","c.robuchonlee@saintlouis-viry.fr",,
,"0911746D","ST PIERRE","70 rue de Montgeron
",91,"BRUNOY","ESSONNE","01 60 47 99 99
","01 60 46 22 21
","0911746D@ac-versailles.fr","Collège"," GEORGES","Laurent","stp91.direction@saint-pierre91.org",,
,"0911745C","ST CHARLES","2 rue Geneviève Anthonioz de Gaulle ",91,"ATHIS MONS","ESSONNE","01 60 48 71 11
","01 69 38 48 45
","0911745c@ac-versailles.fr","Collège"," LALAGUE","Patrick","plalague@scharles.net",,
,"0911751J","SACRE COEUR","Passage de Graville
",91,"LA VILLE DU BOIS","ESSONNE","01 69 01 06 12
","01 69 01 77 37
","0911751J@ac-versailles.fr","Collège"," MAILLARD","Jean Claude","direction@isc.vdb.fr",,
,"0912342B","LYCEE LA SALLE IGNY","10 avenue de la Division Leclerc
",91,"IGNY","ESSONNE","01 69 35 15 00
",,"accueil@lasalleigny.fr","Lycée Général","Frère Vincent de l'Eglise",,"fvdl@lasalleigny.fr
",,
,"0912321D","SAINT MARTIN","36 avenue du 8 Mai 1945
",91,"PALAISEAU","ESSONNE","01 69 31 51 00
","01 69 31 51 09
","pievoleuse@institution-saintmartin.fr","Lycée Polyvalent"," GOURGUES","Christophe","cgourgues@institution-saintmartin.fr",,
,"0910843X","ST PIERRE","70 rue de Montgeron
",91,"BRUNOY CEDEX","ESSONNE","01 60 47 99 99
","01 60 47 99 98
","communication@saint-pierre91.org","Lycée Polyvalent"," GEORGES","Laurent","stp91.direction@saint-pierre91.org",,
,"0910830H","NOTRE DAME","2 place Rouffy
",91,"DRAVEIL","ESSONNE","01 69 03 70 47
","01 69 40 85 84
","0910830H@ac-versailles.fr","Collège"," BOUSQUET"," Anne Marie","notredame.bousquet@orange.fr",,
,"0910808J","ST CHARLES","2 rue G Anthonioz de Gaulle
",91,"ATHIS MONS","ESSONNE","01 60 48 71 00
","01 69 38 48 45
","lycee@scharles.net","Lycée Général et Technologique"," LALAGUE","Patrick","plalague@scharles.net",,
,"0910823A","ILE DE FRANCE","7 rue du Baron de Nivière
",91,"VILLEBON SUR YVETTE","ESSONNE","01 60 10 16 46
","01 60 10 54 38
","idf.villebon@wanadoo.fr","Lycée Général et Technologique"," BEUGRAS ","Pierre Henri","idf.villebon@wanadoo.fr",,
,"0911749G","CRS SECONDAIRE D'ORSAY","11 rue de Courtaboeuf
",91,"ORSAY","ESSONNE","01 69 28 43 72
","01 69 28 93 40
","0911749G@ac-versailles.fr","Collège"," AUTIN","Claire","direction.cso@orange.fr",,
,"0910815S","JEANNE D'ARC","11 boulevard Henri IV
",91,"ETAMPES ","ESSONNE","01 69 16 14 40
","01 69 92 07 41
","contact@jeannedarc-etampes.fr","Lycée Général"," DUBOIS","Thierry","thierry.dubois@jeannedarc-etampes.fr",,
,"0912117G","NOTRE DAME DE SION","1 avenue Ratisbonne
",91,"EVRY ","ESSONNE","01 69 47 32 32
","01 69 47 32 33
","direction@sion91.fr","Lycée Polyvalent","BATHILDE","Sandrine","direction@sion91.fr",,
,"0910820X","SAINT-MARTIN","Avenue du 8 Mai 1945
",91,"PALAISEAU","ESSONNE","01 69 31 51 00
","01 60 10 39 76
","0910820X@ac-versailles.fr","Collège"," GOURGUES","Christophe","cgourgues@institution-saintmartin.fr",,
